### 输入法软件		
%		09 五笔第一代 / 09 五笔第二代【晓览】 <https://gaokuan.ysepan.com/>
%		986 五笔 <http://986wb.ysepan.com>
%		大大输入法（五笔 98 方案，`Windows平台/2-进阶版/便携版、脚本版/大大输入法`） <http://98wb.ysepan.com>
%		字源输入法 <https://ziyuan.ysepan.com>
%		小兔两笔 <https://xtlb.ysepan.com/>
%		小鸭五笔
%		张码 <http://zhangma.ysepan.com/>
%		拼音加加 <http://lhhys.ysepan.com>
%		牛码五笔 <http://newwb.ysepan.com>
%		王林快码 <http://jdkm.ysepan.com>
%		真码 <http://sixchou.ysepan.com>
%		真码输入法 <http://sixchou.ysepan.com>
%		科狗输入法 <http://kegou.ysepan.com>
%		空明码 <http://srkmm.ysepan.com>
%		精灵五笔
%		蓝宝石【作者：秋风】：乱序单编，末根笔画补码
%		行云二笔 <http://zhangleshui.ysepan.com>
%		超强飞码输入法(超强快码/两笔/音形输入法) <http://fds8866.ysepan.com>
%		青松二笔 <http://jtfzp.ysepan.com>
%		鸿雁输入法（基于小狼毫） <https://forum.freemdict.com/t/topic/14730> <https://forum.freemdict.com/t/topic/15303>
%	http://pinyin.engkoo.com/	微软英库拼音输入法（Engkoo）
%	http://soime.cn	启程输入法
%	http://www.ccamc.co/fonts_tangut.php	西夏文輸入法（有独立安装版和RIME版，以及字体文件）
%	http://www.cbflabs.com	仓颉【朱邦复】
%	http://www.dayi.com/download.html	大易输入法【王赞杰】
%	http://www.freewb.org/	【x】极点五笔
%	http://www.jpwb.cc	极品五笔
%	http://www.mid.top	中码五笔输入法（基于王码五笔改进）<https://tieba.baidu.com/p/7484109997> <https://tieba.baidu.com/p/7776166151>
%	http://www.sinomac.com/QIM/index.php	【x】QIM/IMKQIM输入法，MAC平台【Glider】
%	http://www.wangma.net.cn/	王码五笔【王永民】
%	http://www.xdwb.cn/	现代五笔
%	http://www.ziranma.com.cn	自然码【周志农】
%	http://www.znabc.com/	【x】智能ABC
%	http://www.znwb.com/	智能陈桥 <http://znwb.ysepan.com>
%	http://xumax.cn	徐码【徐国银】
%	https://boshiamy.com/	呒虾米输入法【刘重次】
%	https://flypy.cc	小鹤双拼、小鹤音形【何海峰】 <https://flypy.ysepan.com> ~~<https://flypy.com/>~~
%	https://flypy.cc/wb/	花儿五笔（flypy出品，基于五笔86版）
%	https://gitee.com/orz707/Yzime	影子输入法 <https://gitee.com/autoahk/shadow> <https://github.com/fanlusky/YingziIME> <https://www.autoahk.com/archives/15117>
%	https://okuc.neocities.org/SunWb/Index	海峰五笔
%	https://pangime.com/	小胖输入法<http://pangime.ysepan.com/> <https://docs.qq.com/doc/DZVBXWFJLUVVDd3VM?dver=>
%	https://soongsky.com/sky/	天码【宋天】 <https://tianma.ysepan.com>
%	https://suke.kim/	可可五笔
%	https://www.china-e.com.cn/IMs.html	郑码（字根通用码）【郑易理、郑珑】 <http://zmdisk.ysepan.com>
%	https://www.cnprint.org/bbs/thread/328367/	黄狗五笔（超大字符集版）
%	https://www.funinput.com/	【x】FIT/WeFIT输入法（Fun Input Toy）Mac/iOS 平台【冯华君】
%	https://www.google.com/intl/zh-CN/ime/english/	【x】谷歌拼音输入法
%	https://www.icesofts.com/	冰凌输入法（五笔）
%	https://www.tiger-code.com	虎码【作者：PeaceB】 <https://huma.ysepan.com>
%	https://www.yuque.com/smzm/zhengma	三码郑码/至至郑码【史岳】 <https://zzzm.ysepan.com/>
%	https://yong.dgod.net	永码（小小输入法、Yong 输入法）
%	https://pinyin.sogou.com/	搜狗输入法（拼音、五笔）
%	https://www.wnwb.com/	万能五笔
### 输入法软件*		
%	https://im.logcg.com/	落格输入法，Mac/iOS 平台
%	https://pinyin.thunisoft.com/	华宇拼音输入法（紫光）
%	https://qingg.im/	清歌五笔输入法，Mac/iOS 平台
%	https://qq.pinyin.cn/	QQ输入法（拼音、五笔）
%	https://shurufa.baidu.com/	百度输入法（拼音、五笔）
%	https://shurufa.doubao.com/	豆包输入法（语音）
%	https://srf.xunfei.cn/	讯飞输入法
%	https://www.xinshuru.com/	手心输入法
%	https://z.weixin.qq.com/	微信输入法（拼音、五笔、语音）
%	https://autoglm.zhipuai.cn/autotyper/	智谱AI输入法（语音）
